,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
274,Pampa del Infierno,-26.5052,-61.1744,67.44,52,74,5.75,AR,1689895072
275,Luwuk,-0.9516,122.7875,78.24,83,29,5.1,ID,1689895073
276,Den Helder,52.9599,4.7593,60.03,86,75,2.3,NL,1689895074
277,Farkhār,36.5729,69.8578,72.07,52,23,2.53,AF,1689895076
278,Ghanzi,-21.5667,21.7833,56.07,28,24,12.84,BW,1689895077
279,Muscat,23.6139,58.5922,86.02,76,99,11.77,OM,1689895078
280,Nakambala,-15.8324,27.7799,62.29,50,0,7.74,ZM,1689895079
281,Carlisle,40.2015,-77.1889,86.14,59,82,8.7,US,1689895051
282,Port Alfred,-33.5906,26.891,54.34,58,52,17.16,ZA,1689895082
283,Quellón,-43.1167,-73.6167,53.85,82,75,10.36,CL,1689895083
284,Spring Creek,40.7266,-115.5859,91.4,16,7,1.88,US,1689894868
285,Talodi,10.6325,30.3797,76.46,72,70,2.24,SD,1689895085
286,Simanggang,1.2472,111.4528,73.38,100,100,5.75,MY,1689895087
287,Nishinoomote,30.7333,131.0,80.47,81,100,5.73,JP,1689895088
288,Margate,51.3813,1.3862,60.31,90,91,4.0,GB,1689895089
289,Luau,-10.7073,22.2247,64.83,37,12,2.15,AO,1689895091
290,Sīwah,29.2041,25.5195,89.46,20,0,4.38,EG,1689894986
291,Florø,61.5996,5.0328,51.87,93,100,4.61,NO,1689895093
292,Igabi,10.7889,7.7749,72.32,92,100,0.74,NG,1689895094
293,Palangkaraya,-2.2,113.8333,73.36,99,98,1.32,ID,1689894800
294,Smithers,54.7804,-127.1743,86.32,26,40,10.36,CA,1689894919
295,Fort St. John,56.2499,-120.8529,80.49,32,75,3.44,CA,1689895098
296,Villa Sandino,12.0483,-84.9936,79.97,84,44,14.23,NI,1689895099
297,Rivne,50.6231,26.2274,55.15,93,1,5.1,UA,1689895100
298,Batouri,4.4333,14.3667,69.08,98,100,2.37,CM,1689895102
299,Vorgashor,67.5833,63.95,63.23,84,61,5.37,RU,1689895103
300,Oroszlány,47.4867,18.3123,61.95,61,33,1.25,HU,1689895104
301,Rio Grande,-32.035,-52.0986,59.11,98,100,10.83,BR,1689895106
302,Saipan,15.1355,145.701,86.7,100,20,11.5,MP,1689895107
303,Diepholz,52.6,8.3667,61.43,80,87,2.73,DE,1689895108
304,La Souterraine,46.2371,1.487,64.71,76,100,3.6,FR,1689895109
305,San Luis de la Loma,17.2706,-100.8939,89.31,64,32,8.99,MX,1689895111
306,Meadow Lakes,61.6247,-149.6011,68.95,74,40,4.61,US,1689895112
307,Bantay,17.5847,120.3892,83.97,77,84,6.17,PH,1689895114
308,Bonga,7.2833,36.2333,58.98,99,100,1.63,ET,1689895115
309,Cannonvale,-20.2833,148.7,69.19,72,18,8.32,AU,1689895116
310,Tshabong,-26.05,22.45,53.44,31,60,8.81,BW,1689895117
311,Sibi,29.5448,67.8764,95.76,48,69,4.34,PK,1689895119
312,General Conesa,-40.1,-64.4333,57.2,44,100,19.77,AR,1689895120
313,Hasaki,35.7333,140.8333,81.3,82,4,10.76,JP,1689895121
314,Palpa,-14.5336,-75.1856,71.4,56,0,4.41,PE,1689895123
315,Ormara,25.2088,64.6357,82.47,82,100,9.6,PK,1689895124
316,Carnarvon,-24.8667,113.6333,53.87,47,1,18.3,AU,1689895125
317,Belyy Yar,53.6039,91.3903,67.89,83,0,4.47,RU,1689895126
